inbound_length_count,inbound_length_mean,inbound_length_std,outbound_length_count,outbound_length_mean,outbound_length_std
0,,,5,60.0,0.0
0,,,5,60.0,0.0
0,,,2,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,2,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,6,60.0,0.0
0,,,3,60.0,0.0
0,,,6,60.0,0.0
0,,,6,60.0,0.0
0,,,1,138.0,
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,6,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,1,64.0,
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,2,60.0,0.0
0,,,6,60.0,0.0
0,,,124,64.06451612903226,66.90944516740139
0,,,4,60.0,0.0
0,,,5,767.8,705.6161846216397
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,417,40.0,0.0
0,,,1,40.0,
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,6,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,3,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,2,60.0,0.0
0,,,7,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,7,60.0,0.0
0,,,1,73.0,
0,,,3,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,7,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,1,73.0,
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,1,60.0,
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,3,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,1,64.0,
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,1,114.0,
0,,,1,60.0,
0,,,6,60.0,0.0
0,,,6,60.0,0.0
0,,,5,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,6,60.0,0.0
0,,,5,60.0,0.0
0,,,5,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,1,73.0,
0,,,1,60.0,
0,,,5,60.0,0.0
0,,,2,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,8,199.75,268.66482038831526
0,,,6,60.0,0.0
0,,,417,60.0,0.0
0,,,6,60.0,0.0
0,,,5,60.0,0.0
0,,,7,60.0,0.0
0,,,6,60.0,0.0
0,,,3,60.0,0.0
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,16,54.5,3.723797345005052
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,7,60.0,0.0
0,,,1,114.0,
0,,,4,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,5,60.0,0.0
0,,,4,60.0,0.0
0,,,3,60.0,0.0
