inbound_length_count,inbound_length_mean,inbound_length_std,outbound_length_count,outbound_length_mean,outbound_length_std,outbound_length_count_5,outbound_length_count_2,outbound_length_count_4,outbound_length_count_3,outbound_length_count_6,outbound_length_count_1,outbound_length_count_124,outbound_length_count_417,outbound_length_count_7,outbound_length_count_8,outbound_length_count_16
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,2,60.0,0.0,0,1,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,2,60.0,0.0,0,1,0,0,0,0,0,0,0,0,0
0,,,3,60.0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,3,60.0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,6,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,,,3,60.0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,,,6,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,,,6,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,,,1,138.0,,0,0,0,0,0,1,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,6,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,1,64.0,,0,0,0,0,0,1,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,3,60.0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,2,60.0,0.0,0,1,0,0,0,0,0,0,0,0,0
0,,,6,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0
0,,,124,64.06451612903226,66.90944516740139,0,0,0,0,0,0,1,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,767.8,705.6161846216397,1,0,0,0,0,0,0,0,0,0,0
0,,,3,60.0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,417,40.0,0.0,0,0,0,0,0,0,0,1,0,0,0
0,,,1,40.0,,0,0,0,0,0,1,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
0,,,5,60.0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,,,4,60.0,0.0,0,0,1,0,0,0,0,0,0,0,0
